time,open,high,low,close,Volume,Volume MA,OSC,ADX
2023-07-18T14:43:00Z,192.76,192.76,192.76,192.76,2,122.45,0.037259563432691496,17.647470343502043
2023-07-18T14:44:00Z,192.76,192.77,192.74,192.74,33,99.95,0.03617313209498462,17.894144642374947
2023-07-18T14:45:00Z,192.81,192.83,192.81,192.83,23,101.05,0.027008502677458936,17.55798262598418
2023-07-18T14:46:00Z,192.78,192.78,192.78,192.78,1,100.7,0.01661024945083172,17.456590603706008
2023-07-18T14:48:00Z,192.83,192.83,192.83,192.83,8,95.05,0.009965952749472278,16.885464660484764
2023-07-18T14:49:00Z,192.83,192.83,192.83,192.83,19,95.1,-0.0022598367724245144,16.35513342749361
2023-07-18T14:50:00Z,192.84,193,192.84,193,2957,242.9,-0.001802765144696204,15.956179303720203
2023-07-18T14:51:00Z,192.98,192.98,192.98,192.98,10,243,-0.0042472648965355565,15.585721903073466
2023-07-18T14:52:00Z,193.06,193.06,193.06,193.06,4,242.7,-0.0037777358022504114,15.825720012359696
2023-07-18T14:53:00Z,193.01,193.05,193.01,193.05,110,236.9,0.006690804588447622,15.555038543449134
2023-07-18T14:54:00Z,193.16,193.16,193.16,193.16,1,226.85,0.018046196783216152,16.063811362524177
2023-07-18T14:56:00Z,193.24,193.24,193.23,193.23,500,245.75,0.03332407664605542,17.014265570795146
2023-07-18T14:57:00Z,193.27,193.27,193.17,193.18,54,248.4,0.04158927811200214,17.293050489847957
2023-07-18T14:58:00Z,193.12,193.12,193.12,193.12,14,246.55,0.05476706719833533,17.073524835187378
2023-07-18T14:59:00Z,193.17,193.18,193.17,193.18,86,250.35,0.06821499570023172,17.27896781017033
2023-07-18T15:00:00Z,193.15,193.15,193.09,193.09,28,249.7,0.07749135317493311,16.71986472780966
2023-07-18T15:03:00Z,193.11,193.19,193.07,193.07,422,253.45,0.07889629098659738,16.491785422435097
2023-07-18T15:04:00Z,193.08,193.11,193.07,193.1,427,251.85,0.07807641815864155,16.279997496015856
2023-07-18T15:05:00Z,193.1,193.16,193.08,193.16,124,243.3,0.07609685323296597,16.46165298294672
2023-07-18T15:06:00Z,193.17,193.19,193.17,193.19,134,247.85,0.07544935295710922,16.85107467787216
2023-07-18T15:07:00Z,193.25,193.25,193.25,193.25,19,248.7,0.06678031078692719,17.63536532948372
2023-07-18T15:08:00Z,193.24,193.24,193.08,193.08,31,248.6,0.051111149483540744,16.648811547087703
2023-07-18T15:09:00Z,193.065,193.065,193.065,193.065,4,247.65,0.03713400925275662,15.60270176970538
2023-07-18T15:10:00Z,193.07,193.12,193.07,193.12,400,267.6,0.029978850790867453,15.084548865682942
2023-07-18T15:11:00Z,193.135,193.135,193.05,193.05,122,273.3,0.016585302093637268,14.412020152577307
2023-07-18T15:14:00Z,193.09,193.09,193.09,193.09,17,273.2,0.010172488413287195,13.787529204693502
2023-07-18T15:16:00Z,193.11,193.11,193.01,193.01,154,133.05,0.0026262349784416193,13.174549655949205
2023-07-18T15:17:00Z,193,193.01,192.95,193.01,173,141.2,-0.002280996585213337,13.124992549783036
2023-07-18T15:18:00Z,193.05,193.07,193.05,193.07,201,151.05,-0.0091607721673387,12.465644124560749
2023-07-18T15:19:00Z,193.05,193.05,193.05,193.05,27,146.9,-0.016163932606442742,11.853392015425767
2023-07-18T15:20:00Z,193.08,193.09,193.08,193.09,14,147.55,-0.025435441691970442,11.14216995351298
2023-07-18T15:22:00Z,193.15,193.15,193.15,193.15,1,122.6,-0.021564080086017942,11.060527262176194
2023-07-18T15:23:00Z,193.19,193.19,193.19,193.19,1,119.95,-0.01410494622421282,11.344587926202061
2023-07-18T15:24:00Z,193.19,193.27,193.19,193.27,69,122.7,-0.008556482027632876,12.261345235512445
2023-07-18T15:25:00Z,193.18,193.19,193.17,193.17,59,121.35,-0.003575431116177689,12.862903077924429
2023-07-18T15:26:00Z,193.22,193.26,193.22,193.26,166,128.25,0.0032548110182026055,13.965013763552832
2023-07-18T15:27:00Z,193.26,193.26,193.25,193.25,10,107.65,0.011736582756522467,14.988402257350636
2023-07-18T15:30:00Z,193.2,193.2,193.13,193.14,273,99.95,0.016741601153600325,14.470815281739805
2023-07-18T15:31:00Z,193.16,193.18,193.14,193.18,132,100.35,0.020464292891541953,13.990198804386885
2023-07-18T15:34:00Z,193.11,193.11,193.04,193.04,65,96.9,0.02290589228873413,13.469579866874035
2023-07-18T15:35:00Z,193.13,193.13,193.085,193.13,139,102.9,0.026456820275537186,12.772259061559993
2023-07-18T15:36:00Z,193.19,193.24,193.17,193.24,125,107.6,0.03136361450930392,12.650986949541954
2023-07-18T15:37:00Z,193.23,193.23,193.23,193.23,1,107.45,0.029735157386203387,12.53837713123949
2023-07-18T15:38:00Z,193.25,193.29,193.25,193.29,8,87.85,0.02522170694072766,12.959156732323576
2023-07-18T15:39:00Z,193.24,193.24,193.24,193.24,6,82.05,0.025886616619905465,13.226140223521474
2023-07-18T15:40:00Z,193.345,193.345,193.29,193.29,129,87.65,0.02152159925519466,14.318573143063187
2023-07-18T15:41:00Z,193.33,193.335,193.31,193.335,22,81.05,0.01988100975386169,15.33297513978049
2023-07-18T15:42:00Z,193.3,193.33,193.3,193.3,54,75.1,0.02101345230754098,16.133228061949094
2023-07-18T15:43:00Z,193.37,193.37,193.37,193.37,82,69.15,0.021972821727529814,17.203459827717094
2023-07-18T15:44:00Z,193.32,193.32,193.27,193.285,291,82.35,0.029353049908288333,16.851207351496473
2023-07-18T15:45:00Z,193.25,193.28,193.21,193.28,335,98.4,0.031446153391887506,15.842656406014468
2023-07-18T15:46:00Z,193.27,193.35,193.24,193.35,103,103.5,0.030729499087697797,15.576364455145514
2023-07-18T15:47:00Z,193.3,193.3,193.3,193.3,100,108.45,0.030654437748036566,15.329093357910054
2023-07-18T15:48:00Z,193.34,193.34,193.34,193.34,3,105.15,0.02954446330913926,15.476691776221212
2023-07-18T15:49:00Z,193.37,193.42,193.35,193.405,206,112.5,0.03475486180053413,16.289870500020932
2023-07-18T15:50:00Z,193.405,193.405,193.405,193.405,1,104.25,0.0349130008433312,17.04496502926353
2023-07-18T15:51:00Z,193.35,193.4,193.32,193.345,267,117.1,0.03333542757744595,16.624917890787053
2023-07-18T15:52:00Z,193.29,193.29,193.29,193.29,28,104.85,0.03183218623377615,15.878217622639582
2023-07-18T15:54:00Z,193.3,193.31,193.24,193.25,357,116.1,0.022912640017258134,14.869050225490307
2023-07-18T15:55:00Z,193.24,193.255,193.12,193.13,662,145.95,0.01612527701915928,15.066444955743805
2023-07-18T15:56:00Z,193.1,193.1,193.1,193.1,100,144,0.005333950906169963,15.415633954060743
2023-07-18T15:57:00Z,193.07,193.07,193.03,193.03,226,149.05,-0.008758735637026427,16.28916355360049
2023-07-18T15:58:00Z,193.02,193.04,193.015,193.03,263,162.15,-0.01755533626716452,17.21239290275212
2023-07-18T15:59:00Z,193.03,193.03,193,193,5,162,-0.029482316153728906,18.185080859189846
2023-07-18T16:00:00Z,193.05,193.08,193.05,193.06,120,167.7,-0.04166938753816682,18.38059939561404
2023-07-18T16:01:00Z,193.01,193.01,192.91,192.91,278,175.15,-0.059157598750365394,19.612202092188852
2023-07-18T16:02:00Z,192.9,192.9,192.9,192.9,10,174.55,-0.07258315947399613,20.820663271249124
2023-07-18T16:03:00Z,192.94,192.94,192.94,192.94,1,171.9,-0.08097076178999327,21.38444445125449
2023-07-18T16:04:00Z,192.88,192.88,192.77,192.77,61,170.85,-0.09276492731332113,22.965231479377127
2023-07-18T16:05:00Z,192.73,192.74,192.66,192.66,371,174.85,-0.09961092564122777,24.943083618090416
2023-07-18T16:06:00Z,192.62,192.62,192.6,192.6,38,160,-0.10862877441764919,27.023274516582944
2023-07-18T16:07:00Z,192.6,192.6,192.58,192.58,266,168.15,-0.11469035454047152,29.03431617269429
2023-07-18T16:08:00Z,192.54,192.61,192.54,192.61,325,179.4,-0.11821430289383507,31.060387916653365
2023-07-18T16:11:00Z,192.62,192.62,192.55,192.58,250,191.75,-0.12223240688466745,32.79369677988968
2023-07-18T16:14:00Z,192.53,192.57,192.53,192.57,124,187.65,-0.1286472786762469,34.491202025598895
2023-07-18T16:19:00Z,192.58,192.58,192.58,192.58,1,187.65,-0.12541529469192247,35.90381845310146
2023-07-18T16:21:00Z,192.57,192.57,192.47,192.47,285,188.55,-0.12465420124584735,37.69812676633114
2023-07-18T16:22:00Z,192.46,192.46,192.35,192.35,257,200,-0.1307103997859492,39.77600860358642
2023-07-18T16:23:00Z,192.33,192.38,192.33,192.38,56,184.95,-0.12849203408601131,41.76681398475267
2023-07-18T16:24:00Z,192.35,192.37,192.33,192.33,436,173.65,-0.12291295045364871,43.61541898154992
2023-07-18T16:26:00Z,192.38,192.38,192.38,192.38,30,170.15,-0.11581904848912306,45.15507055232356
2023-07-18T16:27:00Z,192.44,192.48,192.44,192.48,26,160.15,-0.10570385620054068,44.96535162328306
2023-07-18T16:28:00Z,192.48,192.48,192.42,192.42,153,154.65,-0.1005042515318384,44.9071229259693
2023-07-18T16:29:00Z,192.39,192.39,192.39,192.39,1,154.45,-0.09456212175081612,45.02989636446898
2023-07-18T16:32:00Z,192.355,192.355,192.355,192.355,9,148.9,-0.08979270902421174,45.345035620852755
2023-07-18T16:34:00Z,192.41,192.41,192.41,192.41,233,146.65,-0.08256124085383856,44.76274292599249
2023-07-18T16:35:00Z,192.38,192.38,192.36,192.365,318,162.05,-0.07454638991599913,44.55529658117122
2023-07-18T16:36:00Z,192.365,192.38,192.35,192.36,62,165.1,-0.06067907128545684,44.42806731632195
2023-07-18T16:37:00Z,192.41,192.42,192.41,192.42,220,173.05,-0.04574400182014279,43.66207129656745
2023-07-18T16:38:00Z,192.42,192.42,192.42,192.42,35,156.25,-0.032412023622968265,42.950789278223986
2023-07-18T16:39:00Z,192.38,192.38,192.375,192.375,222,165.45,-0.025622150602104782,42.65276807048498
2023-07-18T16:40:00Z,192.48,192.48,192.48,192.48,4,152.35,-0.022653573535561085,40.84137247089262
2023-07-18T16:41:00Z,192.48,192.48,192.48,192.48,10,136.6,-0.01706174272205854,39.15936227127115
2023-07-18T16:42:00Z,192.495,192.495,192.43,192.43,279,138.05,-0.010529506745718066,38.08416485190032
2023-07-18T16:43:00Z,192.42,192.42,192.42,192.42,5,132.1,-0.003192385787979947,37.18027625977385
2023-07-18T16:44:00Z,192.41,192.41,192.35,192.36,441,154.1,-0.0005939631067624157,36.95966760270681
2023-07-18T16:46:00Z,192.32,192.32,192.32,192.32,9,140.3,0.003502132836729385,36.99436488377592
2023-07-18T16:47:00Z,192.35,192.35,192.31,192.31,138,134.35,0.0048635784806875,36.51655022856869
2023-07-18T16:48:00Z,192.31,192.31,192.21,192.23,80,135.55,-0.0020420210803679044,36.85533751206497
2023-07-18T16:49:00Z,192.19,192.27,192.19,192.27,451,136.3,-0.007116327825602933,37.30731714763989
2023-07-18T16:52:00Z,192.31,192.31,192.3,192.3,29,136.25,-0.010272340793480203,37.05321315253004
2023-07-18T16:54:00Z,192.35,192.44,192.35,192.44,409,155.4,-0.01383651379187081,35.027115307009566
2023-07-18T16:57:00Z,192.46,192.46,192.45,192.46,53,150.4,-0.014381134722805274,32.91197923786521
2023-07-18T16:59:00Z,192.4,192.4,192.4,192.4,25,151.6,-0.01544556366955344,31.45454382600534
2023-07-18T17:00:00Z,192.37,192.37,192.34,192.34,38,153.05,-0.0183665866731234,30.65332105729852
2023-07-18T17:01:00Z,192.3,192.3,192.24,192.24,52,144,-0.02175834131563182,30.689100205583365
2023-07-18T17:02:00Z,192.29,192.31,192.29,192.31,7,128.45,-0.019803303685435668,30.586247944408147
2023-07-18T17:03:00Z,192.39,192.39,192.39,192.39,7,125.7,-0.016263362505193443,29.463923588269786
2023-07-18T17:04:00Z,192.43,192.43,192.39,192.42,112,120.3,-0.007871647587108952,27.958125308434518
2023-07-18T17:05:00Z,192.43,192.46,192.43,192.45,114,124.25,0.0007426027490770417,26.221986821271116
2023-07-18T17:06:00Z,192.44,192.44,192.43,192.43,136,119.95,0.0072527355568164555,24.609858226047958
2023-07-18T17:08:00Z,192.49,192.5,192.49,192.5,11,120.3,0.007277263749530042,23.271785260067972
2023-07-18T17:10:00Z,192.46,192.46,192.46,192.46,37,121.65,0.007772354182411064,21.672579852112307
2023-07-18T17:12:00Z,192.45,192.45,192.42,192.42,35,109.45,0.01029728458696337,20.51855515669941
2023-07-18T17:13:00Z,192.43,192.47,192.43,192.47,88,113.6,0.016064595019433782,19.198038152158798
2023-07-18T17:14:00Z,192.44,192.44,192.44,192.44,21,92.6,0.025965603620537403,17.971843790799657
